"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"353312","15-0078519",0,"2015-12-12","09:50:39","116","Fuel burner/boiler malfunction, fire confined",2000,2000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","43","","SAINT JOSEPH","","ST","","","","","",4000,1
"353360","15-0078588",0,"2015-12-12","16:30:00","113","Cooking fire, confined to container",1000,2000,"09","RX","Roxbury","02120","429","Multifamily dwelling","69","","MCGREEVEY","","WAY","","","","","",3000,1
"353369","15-0078602",0,"2015-12-12","18:14:12","113","Cooking fire, confined to container",0,2000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","24","","DAWSON","","ST","","","","","",2000,1
"353402","15-0078271",0,"2015-12-11","01:58:50","113","Cooking fire, confined to container",1000,1000,"09","RX","Roxbury","02115","429","Multifamily dwelling","360","","RIVERWAY","","","","","","","",2000,1
"353410","15-0078283",0,"2015-12-11","06:11:14","111","Building fire",1000,500,"04","BO","Boston","02118","161","Restaurant or cafeteria","314","","SHAWMUT","","AVE",": @SOUTH END BUTTERY - 314 SHAWMUT AVE,","","","","",1500,1
"353465","15-0078382",0,"2015-12-11","16:10:33","111","Building fire",10000,90000,"09","RX","Roxbury","02115","331","Hospital - medical or psychiatric","330","","BROOKLINE","","AVE",": #12-2353","","","","",100000,1
"353732","15-0077648",0,"2015-12-08","00:53:40","150","Outside rubbish fire, Other",500,0,"12","HP","Hyde Park","02136","900","Outside or special property, Other","31","","RILEY","","RD","","","","","",500,1
"353797","15-0077778",0,"2015-12-08","16:05:47","113","Cooking fire, confined to container",1000,1000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","11","","MERLIN","","ST","","","","","",2000,1
"353798","15-0077779",0,"2015-12-08","16:11:53","131","Passenger vehicle fire",1000,1000,"08","MT","Mattapan","02126","000","Property Use, Other","108","","BABSON","","ST","","","","","",2000,1
"353873","15-0077499",0,"2015-12-07","10:48:18","113","Cooking fire, confined to container",3000,2000,"03","BO","Boston","02109","519","Food and beverage sales, grocery store","98-114","","WATER","","ST","","","","","",5000,1
"353894","15-0077542",0,"2015-12-07","14:51:49","131","Passenger vehicle fire",2500,0,"12","JP","Jamaica Plain","02130","960","Street, Other","","","WASHINGTON","","ST",": alias WASHINGTON ST/CASEY HWY JP BSTN","","ARBORWAY","","",2500,1
"353930","15-0077600",0,"2015-12-07","18:46:43","113","Cooking fire, confined to container",2000,1000,"03","BO","Boston","02108","400","Residential, Other","45","","PROVINCE","","ST",": #CLM516","","","","",3000,1
"353934","15-0077607",0,"2015-12-07","19:23:06","113","Cooking fire, confined to container",500,200,"11","BR","Allston-Brighton","02163","241","Adult education center, college classroom","117","","WESTERN","","AVE","","","","","",700,1
"353936","15-0077609",0,"2015-12-07","19:40:56","111","Building fire",50000,10000,"04","BO","Boston","02116","429","Multifamily dwelling","25","","CHURCH","","ST","","","","","",60000,1
"354004","15-0077293",0,"2015-12-06","11:22:56","113","Cooking fire, confined to container",0,1000,"08","DO","Dorchester","02124","429","Multifamily dwelling","10","","HANNON","","ST","","","","","",1000,1
"354010","15-0077303",0,"2015-12-06","12:19:30","113","Cooking fire, confined to container",0,1000,"04","BO","Boston","02118","429","Multifamily dwelling","33","","MONSIGNOR REYNOLDS","","WAY",": alias 33 REYNOLDS WAY BO BSTN","","","","",1000,1
"354018","15-0077319",0,"2015-12-06","13:25:58","142","Brush or brush-and-grass mixture fire",1000,1000,"08","DO","Dorchester","02124","000","Property Use, Other","121","","WILMINGTON","","AVE","","","","","",2000,1
"354039","15-0077363",0,"2015-12-06","16:08:56","113","Cooking fire, confined to container",1000,100,"07","DO","Dorchester","02125","439","Boarding/rooming house, residential hotels","130","","HAMILTON","","ST","","","","","",1100,1
"354049","15-0077385",0,"2015-12-06","18:16:47","553","Public service",1000,1000,"08","DO","Dorchester","02124","000","Property Use, Other","","","ADAMS","","ST","","","GALLIVAN","","BLVD",2000,1
"354054","15-0077392",0,"2015-12-06","18:36:47","113","Cooking fire, confined to container",300,300,"11","BR","Allston-Brighton","02134","429","Multifamily dwelling","1379","","COMMONWEALTH","","AVE","","","","","",600,1
"354061","15-0077408",0,"2015-12-06","19:37:34","131","Passenger vehicle fire",10000,0,"04","BO","Boston","02116","900","Outside or special property, Other","40","","BERKELEY","","ST","","","","","",10000,1
"354080","15-0076984",0,"2015-12-05","01:13:25","142","Brush or brush-and-grass mixture fire",1000,1000,"08","MT","Mattapan","02126","000","Property Use, Other","430","","RIVER","","ST","","","","","",2000,1
"354129","15-0077059",0,"2015-12-05","12:01:24","113","Cooking fire, confined to container",1000,1000,"07","DO","Dorchester","02124","439","Boarding/rooming house, residential hotels","37","","WALES","","ST",": #INS1096","","","","",2000,1
"354137","15-0077074",0,"2015-12-05","12:44:22","111","Building fire",1000,1000,"11","BR","Allston-Brighton","02134","564","Laundry, dry cleaning","236","","BRIGHTON","","AVE","","","","","",2000,1
"354269","15-0076873",0,"2015-12-04","14:07:46","131","Passenger vehicle fire",4000,300,"09","RX","Roxbury","02119","960","Street, Other","15","","CENTRE","","ST","","","","","",4300,1
"354274","15-0076886",0,"2015-12-04","15:07:41","113","Cooking fire, confined to container",1000,1000,"08","DO","Dorchester","02124","429","Multifamily dwelling","42","","COLONIAL","","AVE","","","","","",2000,1
"354341","15-0076544",0,"2015-12-03","05:47:52","111","Building fire",350000,150000,"07","RX","Roxbury","02119","429","Multifamily dwelling","16","E","COTTAGE","","ST","","","","","",500000,1
"354512","15-0076378",0,"2015-12-02","12:20:16","111","Building fire",750,750,"09","RX","Roxbury","02121","419","1 or 2 family dwelling","167","","HOMESTEAD","","ST","","","","","",1500,1
"354654","15-0076218",0,"2015-12-01","18:37:15","113","Cooking fire, confined to container",500,500,"06","SB","South Boston","02127","429","Multifamily dwelling","137-139","","DORCHESTER","","ST","","","","","",1000,1
"354655","15-0076219",0,"2015-12-01","18:39:41","111","Building fire",1000,0,"01","EB","East Boston","02128","429","Multifamily dwelling","49","","VALLAR","","RD","","","","","",1000,1
"354721","15-0075940",0,"2015-11-30","08:56:10","131","Passenger vehicle fire",5000,0,"06","SB","South Boston","02127","962","Residential street, road or residential driveway","1","","ELLERY","","ST","","","","","",5000,1
"354749","15-0075988",0,"2015-11-30","12:36:02","113","Cooking fire, confined to container",0,500,"11","BR","Allston-Brighton","02134","161","Restaurant or cafeteria","137","","HARVARD","","AVE","","","","","",500,1
"354829","15-0075751",0,"2015-11-29","05:06:48","131","Passenger vehicle fire",1000,0,"07","RX","Roxbury","02119","963","Street or road in commercial area","9","","ROSWELL","","ST","","","","","",1000,1
"354834","15-0075758",0,"2015-11-29","07:10:18","111","Building fire",5000,200,"06","SB","South Boston","02127","429","Multifamily dwelling","770-774","E","THIRD","","ST","","","","","",5200,1
"354875","15-0075823",0,"2015-11-29","14:44:30","113","Cooking fire, confined to container",1000,1000,"03","BO","Boston","02113","419","1 or 2 family dwelling","36","","HULL","","ST","","","","","",2000,1
"354909","15-0075874",0,"2015-11-29","21:11:56","111","Building fire",500,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","104","","ADAMS","","ST","","","","","",500,1
"354945","15-0075609",0,"2015-11-28","11:18:43","130","Mobile property (vehicle) fire, Other",5000,0,"08","MT","Mattapan","02126","965","Vehicle parking area","229-A","","RIVER","","ST","","","","","",5000,1
"354999","15-0075706",0,"2015-11-28","21:56:11","113","Cooking fire, confined to container",1000,0,"07","DO","Dorchester","02125","161","Restaurant or cafeteria","1221","","DORCHESTER","","AVE",": @CAFE 1221 - 1221 DORCHESTER AVE, DORC","","","","",1000,1
"355001","15-0075711",0,"2015-11-28","22:51:10","111","Building fire",5000,2000,"07","DO","Dorchester","02122","429","Multifamily dwelling","381","","ADAMS","","ST","","","","","",7000,1
"355119","15-0075170",0,"2015-11-26","01:29:39","113","Cooking fire, confined to container",0,500,"08","DO","Dorchester","02124","429","Multifamily dwelling","375","","ASHMONT","","ST","","","","","",500,1
"355157","15-0075223",0,"2015-11-26","10:13:31","113","Cooking fire, confined to container",2000,1000,"06","SB","South Boston","02127","419","1 or 2 family dwelling","15","","DEXTER","","ST","","","","","",3000,1
"355319","15-0075059",0,"2015-11-25","15:04:30","111","Building fire",7500,2500,"07","DO","Dorchester","02121","429","Multifamily dwelling","237","","GENEVA","","AVE","","","","","",10000,1
"355329","15-0075081",0,"2015-11-25","16:32:26","113","Cooking fire, confined to container",1000,0,"06","DO","Dorchester","02125","429","Multifamily dwelling","7","","OCEAN VIEW","","DR",": #12-1918","","","","",1000,1
"355390","15-0074729",0,"2015-11-24","04:55:50","111","Building fire",500,0,"08","DO","Dorchester","02122","429","Multifamily dwelling","85","","PIERCE","","AVE","","","","","",500,1
"355508","15-0074926",0,"2015-11-24","21:41:30","111","Building fire",4000,1000,"03","CH","Charlestown","02129","429","Multifamily dwelling","34","","SACKVILLE","","ST","","","","","",5000,1
"355510","15-0074929",0,"2015-11-24","21:46:23","111","Building fire",500000,0,"03","BO","Boston","02109","599","Business office","10","","POST OFFICE","","SQ","","","","","",500000,1
"355559","15-0074575",0,"2015-11-23","11:28:47","111","Building fire",90000,30000,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","1880","","COMMONWEALTH","","AVE","","","","","",120000,1
"355632","15-0074701",0,"2015-11-23","21:49:26","111","Building fire",200000,50000,"01","EB","East Boston","02128","429","Multifamily dwelling","217","","LEXINGTON","","ST","","","","","",250000,1
"355654","15-0074320",0,"2015-11-22","02:30:04","111","Building fire",7000,3000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","2-4","","JESS","","ST",": #INS355","","","","",10000,1
"355712","15-0074419",0,"2015-11-22","15:05:43","131","Passenger vehicle fire",10000,5000,"03","","","02113","961","Highway or divided highway","","","I93 NB","","",": #MTA238 - I93 NB AFTER SA-CN MERGE","","AFTER SA-CN MERGE","","",15000,1
"355749","15-0074469",0,"2015-11-22","20:24:05","111","Building fire",4000,1000,"09","JP","Jamaica Plain","02130","419","1 or 2 family dwelling","60","","BURNETT","","ST","","","","","",5000,1
"355751","15-0074471",0,"2015-11-22","20:34:25","131","Passenger vehicle fire",500,500,"07","DO","Dorchester","02121","965","Vehicle parking area","16","","SUPPLE","","RD","","","","","",1000,1
"355759","15-0074486",0,"2015-11-22","21:53:21","111","Building fire",40000,40000,"08","DO","Dorchester","02124","429","Multifamily dwelling","12","","CAPEN","","PL","","","","","",80000,1
"355768","15-0074502",0,"2015-11-22","23:38:11","111","Building fire",1000,0,"09","RX","Roxbury","02119","429","Multifamily dwelling","80","","WALNUT","","AVE",": #INS572","","","","",1000,1
"355777","15-0074071",0,"2015-11-21","01:39:24","111","Building fire",3000,1,"06","SB","South Boston","02127","419","1 or 2 family dwelling","460","E","SIXTH","","ST","","","","","",3001,1
"355818","15-0074143",0,"2015-11-21","10:54:12","113","Cooking fire, confined to container",3000,1000,"06","SB","South Boston","02127","322","Alcohol or substance abuse recovery center","374","","DORCHESTER","","ST","","","","","",4000,1
"355863","15-0074214",0,"2015-11-21","17:30:20","111","Building fire",850000,50000,"12","HP","Hyde Park","02136","429","Multifamily dwelling","9","","GREENWOOD","","AVE","","","","","",900000,1
"355870","15-0074230",0,"2015-11-21","18:39:50","113","Cooking fire, confined to container",500,100,"06","SB","South Boston","02127","429","Multifamily dwelling","452","E","THIRD","","ST","","","","","",600,1
"355874","15-0074234",0,"2015-11-21","18:54:37","113","Cooking fire, confined to container",2000,1000,"06","SB","South Boston","02127","419","1 or 2 family dwelling","214","W","FIFTH","","ST","","","","","",3000,1
"355887","15-0074254",0,"2015-11-21","20:42:52","100","Fire, Other",500,500,"07","DO","Dorchester","02125","NNN","None","690","","COLUMBIA","","RD","","","","","",1000,1
"355910","15-0073787",0,"2015-11-20","01:31:27","111","Building fire",500000,50000,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","40","","CHAMPNEY","","ST","","","","","",550000,1
"356031","15-0073994",0,"2015-11-20","18:09:53","111","Building fire",1000,1000,"07","DO","Dorchester","02122","429","Multifamily dwelling","110","","PARK","","ST","","","","","",2000,1
"356045","15-0074024",0,"2015-11-20","20:15:26","111","Building fire",2000,0,"01","EB","East Boston","02128","131","Church, mosque, synagogue, temple, chapel","404","","SUMNER","","ST",": @CH-OUR LADY OF ASSUMPTION CHURCH - 40","","","","",2000,1
"356053","15-0074035",0,"2015-11-20","21:46:12","113","Cooking fire, confined to container",0,500,"07","DO","Dorchester","02125","300","Health care, detention, & correction, Other","90","","CUSHING","","AVE",": #12-1875","","","","",500,1
"356064","15-0074052",0,"2015-11-20","23:49:21","111","Building fire",35000,15000,"12","HP","Hyde Park","02136","429","Multifamily dwelling","1565","","RIVER","","ST","","","","","",50000,1
"356164","15-0073765",0,"2015-11-19","22:13:14","131","Passenger vehicle fire",5000,0,"07","DO","Dorchester","02121","962","Residential street, road or residential driveway","53","","OLDFIELDS","","RD","","","","","",5000,1
"356237","15-0073529",0,"2015-11-18","17:55:40","131","Passenger vehicle fire",5000,1000,"08","MT","Mattapan","02126","962","Residential street, road or residential driveway","43","","ORMOND","","ST","","","","","",6000,1
"356274","15-0073513",0,"2015-11-18","16:56:37","113","Cooking fire, confined to container",3000,1000,"07","DO","Dorchester","02125","400","Residential, Other","914","","DORCHESTER","","AVE","","","","","",4000,1
"356303","15-0073564",0,"2015-11-18","21:10:29","113","Cooking fire, confined to container",3000,3000,"06","SB","South Boston","02127","429","Multifamily dwelling","309","","E","","ST","","","","","",6000,1
"356352","15-0073211",0,"2015-11-17","09:30:01","131","Passenger vehicle fire",2000,1,"08","DO","Dorchester","02122","900","Outside or special property, Other","60","","TENEAN","","ST","","","","","",2001,1
"356390","15-0073282",0,"2015-11-17","16:31:18","113","Cooking fire, confined to container",100,1100,"09","RX","Roxbury","02119","429","Multifamily dwelling","122","","DEWITT","","DR","","","","","",1200,1
"356436","15-0072934",0,"2015-11-16","00:56:05","131","Passenger vehicle fire",3000,0,"12","HP","Hyde Park","02136","963","Street or road in commercial area","","","GORDON","","AVE","","","RIVER","","ST",3000,1
"356455","15-0072969",0,"2015-11-16","08:22:36","116","Fuel burner/boiler malfunction, fire confined",3000,50000,"06","SB","South Boston","02118","500","Mercantile, business, Other","100","","WIDETT","","CIR",": #AFA2359","","","","",53000,1
"356510","15-0073082",0,"2015-11-16","16:10:08","111","Building fire",40000,10000,"07","DO","Dorchester","02121","429","Multifamily dwelling","137","","COLUMBIA","","RD","","","","","",50000,1
"356575","15-0072781",0,"2015-11-15","05:51:59","113","Cooking fire, confined to container",1000,1000,"01","EB","East Boston","02128","429","Multifamily dwelling","468","","SARATOGA","","ST","","","","","",2000,1
"356581","15-0072793",0,"2015-11-15","09:50:08","116","Fuel burner/boiler malfunction, fire confined",2000,3000,"03","BO","Boston","02108","429","Multifamily dwelling","24-26","","MOUNT VERNON","","ST",": alias 24-26 MT VERNON ST BO BSTN","","","","",5000,1
"356602","15-0072822",0,"2015-11-15","12:57:44","100","Fire, Other",0,500,"07","RX","Roxbury","02119","419","1 or 2 family dwelling","16","","DUBOIS","","ST","","","","","",500,1
"356621","15-0072858",0,"2015-11-15","16:49:56","113","Cooking fire, confined to container",1000,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","68","","CHARLES","","ST","","","","","",1000,1
"356695","15-0072565",0,"2015-11-14","09:39:49","113","Cooking fire, confined to container",0,500,"09","RX","Roxbury","02121","429","Multifamily dwelling","31","","BRUNSWICK","","ST","","","","","",500,1
"356727","15-0072625",0,"2015-11-14","14:33:13","112","Fires in structure other than in a building",1000,0,"06","SB","South Boston","02127","429","Multifamily dwelling","15","","O","","ST","","","","","",1000,1
"356758","15-0072683",0,"2015-11-14","18:11:36","111","Building fire",500,500,"04","BO","Boston","02215","429","Multifamily dwelling","1203","","BOYLSTON","","ST","","","","","",1000,1
"356782","15-0072727",0,"2015-11-14","21:49:53","131","Passenger vehicle fire",3000,0,"03","","","02129","960","Street, Other","175","","ALFORD","","ST",": @BR-ALFORD STREET","","","","",3000,1
"356830","15-0072361",0,"2015-11-13","10:34:47","111","Building fire",20000,20000,"08","DO","Dorchester","02124","429","Multifamily dwelling","21","","PAISLEY","","PARK","","","","","",40000,1
"356883","15-0072454",0,"2015-11-13","17:57:13","131","Passenger vehicle fire",4000,0,"09","JP","Jamaica Plain","02130","965","Vehicle parking area","20","","WILLIAMS","","ST",": @SCH-ENGLISH HIGH SCHOOL BALL FIELDS","","","","",4000,1
"356886","15-0072459",0,"2015-11-13","18:22:35","138","Off-road vehicle or heavy equipment fire",10000,1000,"09","JP","Jamaica Plain","02130","000","Property Use, Other","3529","","WASHINGTON","","ST","","","","","",11000,1
"356889","15-0072462",0,"2015-11-13","18:26:40","131","Passenger vehicle fire",5000,0,"08","DO","Dorchester","02124","962","Residential street, road or residential driveway","21","","SCHOOL","","ST","","","","","",5000,1
"356964","15-0072205",0,"2015-11-12","15:56:24","113","Cooking fire, confined to container",300,300,"09","RX","Roxbury","02119","429","Multifamily dwelling","735","","SHAWMUT","","AVE","","","","","",600,1
"356966","15-0072209",0,"2015-11-12","16:40:36","111","Building fire",0,1000,"03","BO","Boston","02108","600","Ind., utility, defense, agriculture, mining, other","1","","CENTER","","PLZ",": #14-1262","","","","",1000,1
"357081","15-0072022",0,"2015-11-11","16:12:27","113","Cooking fire, confined to container",1000,1000,"08","DO","Dorchester","02124","400","Residential, Other","44","","FAIRMOUNT","","ST","","","","","",2000,1
"357097","15-0072046",0,"2015-11-11","18:00:43","111","Building fire",1000,4000,"09","RX","Roxbury","02121","429","Multifamily dwelling","58","","RUTHVEN","","ST","","","","","",5000,1
"357119","15-0072081",0,"2015-11-11","21:12:09","130","Mobile property (vehicle) fire, Other",1000,0,"04","BO","Boston","02115","900","Outside or special property, Other","121","","SAINT STEPHEN","","ST","","","","","",1000,1
"357198","15-0071798",0,"2015-11-10","13:41:20","111","Building fire",15000,5000,"08","MT","Mattapan","02126","429","Multifamily dwelling","60","","FAIRLAWN","","AVE","","","","","",20000,1
"357252","15-0071891",0,"2015-11-10","22:00:24","111","Building fire",0,1000,"06","SB","South Boston","02127","429","Multifamily dwelling","5","","ELLERY","","ST","","","","","",1000,1
"357256","15-0071897",0,"2015-11-10","23:06:31","131","Passenger vehicle fire",7000,0,"08","MT","Mattapan","02126","962","Residential street, road or residential driveway","8","","WELLINGTON HILL","","ST","","","","","",7000,1
"357260","15-0071502",0,"2015-11-09","00:05:05","113","Cooking fire, confined to container",1000,1000,"08","DO","Dorchester","02124","519","Food and beverage sales, grocery store","516","","GALLIVAN","","BLVD",": @WINDY CITY AT ADAMS VLG PIZZA - 516 G","","","","",2000,1
"357270","15-0071517",0,"2015-11-09","04:12:36","112","Fires in structure other than in a building",1000,1000,"11","BR","Allston-Brighton","02134","429","Multifamily dwelling","1318","","COMMONWEALTH","","AVE","","","","","",2000,1
"357343","15-0071641",0,"2015-11-09","17:46:32","113","Cooking fire, confined to container",500,200,"04","BO","Boston","02215","464","Barracks, dormitory","627","","COMMONWEALTH","","AVE",": #BU383","","","","",700,1
"357350","15-0071652",0,"2015-11-09","18:49:10","113","Cooking fire, confined to container",0,1000,"04","BO","Boston","02118","429","Multifamily dwelling","460","","HARRISON","","AVE","","","","","",1000,1
"357361","15-0071671",0,"2015-11-09","20:39:19","150","Outside rubbish fire, Other",2000,0,"12","WR","West Roxbury","02132","962","Residential street, road or residential driveway","31","","HASTINGS","","ST","","","","","",2000,1
"357418","15-0071407",0,"2015-11-08","14:00:41","111","Building fire",0,500,"03","BO","Boston","02114","419","1 or 2 family dwelling","28","","ANDERSON","","ST","","","","","",500,1
"357437","15-0071449",0,"2015-11-08","17:23:26","111","Building fire",4000,1000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","30-40","","BICKFORD","","ST","","","","","",5000,1
"357512","15-0071168",0,"2015-11-07","11:43:23","113","Cooking fire, confined to container",500,0,"06","SB","South Boston","02127","429","Multifamily dwelling","187","","ORTON-MAROTTA","","WAY","","","","","",500,1
"357563","15-0071265",0,"2015-11-07","19:01:41","142","Brush or brush-and-grass mixture fire",1000,1000,"08","DO","Dorchester","02124","000","Property Use, Other","842","","WASHINGTON","","ST","","","","","",2000,1
"357568","15-0071273",0,"2015-11-07","19:55:47","111","Building fire",5000,2000,"01","EB","East Boston","02128","429","Multifamily dwelling","115-127","","SUMNER","","ST","","","","","",7000,1
"357571","15-0071276",0,"2015-11-07","20:15:16","143","Grass fire",1000,1000,"08","DO","Dorchester","02124","000","Property Use, Other","113","","FULLER","","ST","","","","","",2000,1
"357630","15-0070899",0,"2015-11-06","09:02:50","112","Fires in structure other than in a building",1000,1000,"01","EB","East Boston","02128","960","Street, Other","102","","MARION","","ST","","","","","",2000,1
"357706","15-0071059",0,"2015-11-06","21:14:59","113","Cooking fire, confined to container",1000,1000,"01","EB","East Boston","02128","400","Residential, Other","210","","SARATOGA","","ST","","","","","",2000,1
"357787","15-0070748",0,"2015-11-05","15:09:41","131","Passenger vehicle fire",500,0,"09","RX","Roxbury","02120","962","Residential street, road or residential driveway","","","TREMONT","","ST",": alias TREMONT/ST ALP%","","SAINT ALPHONSUS","","ST",500,1
"357798","15-0070770",0,"2015-11-05","16:28:15","111","Building fire",45000,5000,"06","SB","South Boston","02127","429","Multifamily dwelling","192","W","FIFTH","","ST","","","","","",50000,1
"357801","15-0070775",0,"2015-11-05","17:05:53","118","Trash or rubbish fire, contained",3500,0,"12","HP","Hyde Park","02136","564","Laundry, dry cleaning","1235","","RIVER","","ST","","","","","",3500,1
"357823","15-0070811",0,"2015-11-05","19:58:22","100","Fire, Other",500,50,"04","RX","Roxbury","02118","429","Multifamily dwelling","609","","SHAWMUT","","AVE","","","","","",550,1
"357880","15-0070457",0,"2015-11-04","07:45:08","111","Building fire",1000,50,"09","RX","Roxbury","02115","429","Multifamily dwelling","646-656","","HUNTINGTON","","AVE",": #13-2363","","","","",1050,1
"357978","15-0070143",0,"2015-11-03","02:20:17","131","Passenger vehicle fire",10000,0,"11","BR","Allston-Brighton","02135","965","Vehicle parking area","121","","TREMONT","","ST","","","","","",10000,1
"357998","15-0070178",0,"2015-11-03","08:14:15","111","Building fire",1000,9000,"07","DO","Dorchester","02125","429","Multifamily dwelling","21","","CUSHING","","AVE","","","","","",10000,1
"358004","15-0070187",0,"2015-11-03","08:42:19","131","Passenger vehicle fire",5000,0,"01","EB","East Boston","02128","960","Street, Other","800","","BORDER","","ST","","","","","",5000,1
"358008","15-0070193",0,"2015-11-03","09:05:57","111","Building fire",45000,5000,"07","DO","Dorchester","02125","161","Restaurant or cafeteria","310","","BOWDOIN","","ST","","","","","",50000,1
"358046","15-0070258",0,"2015-11-03","14:05:35","111","Building fire",10000,5000,"08","DO","Dorchester","02122","419","1 or 2 family dwelling","48","","BOUTWELL","","ST","","","","","",15000,1
"358052","15-0070269",0,"2015-11-03","14:34:54","111","Building fire",2500,7500,"09","RX","Roxbury","02121","419","1 or 2 family dwelling","162","","HUMBOLDT","","AVE","","","","","",10000,1
"358084","15-0070330",0,"2015-11-03","18:30:32","111","Building fire",1000,0,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","43","","BROOKVIEW","","ST","","","","","",1000,1
"358116","15-0070375",0,"2015-11-03","21:36:43","113","Cooking fire, confined to container",500,500,"09","RX","Roxbury","02120","429","Multifamily dwelling","3","","DARLING","","ST","","","","","",1000,1
"358275","15-0069714",0,"2015-11-01","04:46:17","111","Building fire",750,750,"09","RX","Roxbury","02119","429","Multifamily dwelling","757","","SHAWMUT","","AVE","","","","","",1500,1
"358323","15-0069810",0,"2015-11-01","15:05:03","131","Passenger vehicle fire",1500,0,"09","RX","Roxbury","02119","962","Residential street, road or residential driveway","2000","","COLUMBUS","","AVE","","","","","",1500,1
"358330","15-0069825",0,"2015-11-01","16:20:28","113","Cooking fire, confined to container",0,1500,"07","DO","Dorchester","02121","429","Multifamily dwelling","9","","GREENHEYS","","ST","","","","","",1500,1
"358332","15-0069828",0,"2015-11-01","16:52:50","111","Building fire",45000,5000,"06","SB","South Boston","02127","429","Multifamily dwelling","120","","L","","ST",": @BHA-MSGR POWERS","","","","",50000,1
"358334","15-0069835",0,"2015-11-01","17:48:47","130","Mobile property (vehicle) fire, Other",14000,1000,"07","DO","Dorchester","02125","962","Residential street, road or residential driveway","","","JUDSON","","ST","","","JULIAN","","ST",15000,1
"358421","15-0069492",0,"2015-10-31","11:38:34","113","Cooking fire, confined to container",1000,1000,"08","DO","Dorchester","02124","429","Multifamily dwelling","241","","WOODROW","","AVE","","","","","",2000,1
"358489","15-0069600",0,"2015-10-31","19:15:20","111","Building fire",25000,5000,"08","DO","Dorchester","02126","429","Multifamily dwelling","65","","MORTON VILLAGE","","DR","","","","","",30000,1
"358574","15-0069245",0,"2015-10-30","12:53:56","111","Building fire",50000,0,"04","BO","Boston","02116","429","Multifamily dwelling","505","","TREMONT","","ST","","","","","",50000,1
"358727","15-0069002",0,"2015-10-29","10:25:34","113","Cooking fire, confined to container",0,1500,"07","DO","Dorchester","02121","429","Multifamily dwelling","229","","COLUMBIA","","RD","","","","","",1500,1
"358729","15-0069005",0,"2015-10-29","10:59:27","111","Building fire",500,1,"07","DO","Dorchester","02125","419","1 or 2 family dwelling","22","","ROMSEY","","ST","","","","","",501,1
"358880","15-0068811",0,"2015-10-28","16:58:37","111","Building fire",20000,1500,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","65","","FANEUIL","","ST","","","","","",21500,1
"358885","15-0068818",0,"2015-10-28","17:33:11","111","Building fire",5000,5000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","155","","WILLIAMS","","ST",": #ASG291","","","","",10000,1
"358890","15-0068827",0,"2015-10-28","18:11:44","111","Building fire",200000,25000,"12","RS","Roslindale","02131","429","Multifamily dwelling","314","","KITTREDGE","","ST","","","","","",225000,1
"358896","15-0068841",0,"2015-10-28","19:14:18","113","Cooking fire, confined to container",1000,2000,"09","RX","Roxbury","02120","429","Multifamily dwelling","76","","ANNUNCIATION","","RD","","","","","",3000,1
"358950","15-0068464",0,"2015-10-27","05:45:37","131","Passenger vehicle fire",5000,5000,"12","HP","Hyde Park","02136","900","Outside or special property, Other","49","","INDUSTRIAL","","DR","","","","","",10000,1
"359022","15-0068593",0,"2015-10-27","16:11:56","113","Cooking fire, confined to container",0,1000,"07","DO","Dorchester","02122","429","Multifamily dwelling","330","","BOWDOIN","","ST",": #12-1892","","","","",1000,1
"359035","15-0068618",0,"2015-10-27","19:07:27","113","Cooking fire, confined to container",200,500,"04","BO","Boston","02115","429","Multifamily dwelling","30","","HEMENWAY","","ST","","","","","",700,1
"359086","15-0068225",0,"2015-10-26","06:36:42","111","Building fire",10000,5000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","27","","BERNARD","","ST","","","","","",15000,1
"359308","15-0068174",0,"2015-10-25","21:06:33","131","Passenger vehicle fire",4000,0,"08","HP","Hyde Park","02126","960","Street, Other","820","","RIVER","","ST","","","","","",4000,1
"359480","15-0067544",0,"2015-10-23","07:52:36","131","Passenger vehicle fire",1000,0,"07","DO","Dorchester","02122","962","Residential street, road or residential driveway","36","","WINTER","","ST","","","","","",1000,1
"359525","15-0067615",0,"2015-10-23","12:40:41","113","Cooking fire, confined to container",0,500,"08","MT","Mattapan","02126","429","Multifamily dwelling","10","","OWEN","","ST","","","","","",500,1
"359570","15-0067691",0,"2015-10-23","17:44:02","113","Cooking fire, confined to container",0,1000,"01","EB","East Boston","02128","429","Multifamily dwelling","348","","BRANDYWYNE","","DR","","","","","",1000,1
